"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample","final.conc","plate.order"
"19A0225","1",2,2020-06-21,15,TRUE,1560.334,17,3,234.0501,85
"19A0435","1",2,2020-06-21,16,TRUE,845.502,15,5,211.3755,190
"19A0229","1",2,2020-06-21,17,TRUE,1209.552,16,4,241.9104,129
"19A0303","1",2,2020-06-21,18,TRUE,1428.1,17,3,214.215,2
"19A0316","1",2,2020-06-21,19,TRUE,1074.644,16,4,214.9288,180
"19A0272","1",2,2020-06-21,20,TRUE,1171.154,16,4,234.2308,236
"19A0069","1",2,2020-06-21,21,TRUE,821.997,15,5,205.49925,140
"19A0108","1",2,2020-06-21,22,TRUE,1241.578,16,4,248.3156,198
"19A0050","1",2,2020-06-21,23,TRUE,862.415,15,5,215.60375,46
"19A0401","1",2,2020-06-21,24,TRUE,846.786,15,5,211.6965,352
"19A0159","1",2,2020-06-22,2,TRUE,981.206,15,5,245.3015,156
"19A0452","1",2,2020-06-22,3,TRUE,569.343,12,8,227.7372,383
"19A0324","1",2,2020-06-22,4,TRUE,387.471,9,11,213.10905,404
"19A0040","1",2,2020-06-22,5,TRUE,542.147,12,8,216.8588,242
"19A0360","1",2,2020-06-22,6,TRUE,633.127,13,7,221.59445,105
"19A0103","1",2,2020-06-22,7,TRUE,559.606,12,8,223.8424,110
"19A0024","1",2,2020-06-22,8,TRUE,600.013,13,7,210.00455,14
"19A0047","1",2,2020-06-22,9,TRUE,484.103,11,9,217.84635,249
"19A0193","1",2,2020-06-22,10,TRUE,1118.646,16,4,223.7292,79
"19A0231","1",2,2020-06-22,11,TRUE,1103.111,16,4,220.6222,11
"19A0256","1",2,2020-06-22,13,TRUE,883.769,15,5,220.94225,328
"19A0277","1",2,2020-06-22,14,TRUE,655.812,13,7,229.5342,345
"19A0255","1",2,2020-06-22,15,TRUE,1421.439,17,3,213.21585,215
"19A0160","1",2,2020-06-22,16,TRUE,1100.976,16,4,220.1952,187
"19A0424","1",2,2020-06-22,18,TRUE,537.057,12,8,214.8228,374
"19A0121","1",2,2020-06-22,19,TRUE,882.782,15,5,220.6955,280
"19A0334","1",2,2020-06-22,21,TRUE,1191.795,16,4,238.359,26
"19A0441","1",2,2020-06-22,22,TRUE,919.055,15,5,229.76375,257
"19A0268","1",2,2020-06-22,23,TRUE,1181.346,16,4,236.2692,310
"19A0099","1",2,2020-06-22,24,TRUE,1405.015,17,3,210.75225,71
"19A0242","1",3,2020-06-24,1,TRUE,384.976,9,11,211.7368,275
"19A0364","1",3,2020-06-24,2,TRUE,330.289,7,13,214.68785,21
"19A0015","1",3,2020-06-24,7,TRUE,538.492,12,8,215.3968,160
"19A0244","1",3,2020-06-24,8,TRUE,383.82,9,11,211.101,277
"19A0238","1",3,2020-06-24,10,TRUE,729.812,14,6,218.9436,370
"19A0228","1",3,2020-06-24,11,TRUE,534.602,12,8,213.8408,349
"19A0265","1",3,2020-06-24,12,TRUE,539.291,12,8,215.7164,31
"19A0080","1",3,2020-06-24,13,TRUE,1324.763,16,4,264.9526,148
"19A0090","1",3,2020-06-24,14,TRUE,1091.82,16,4,218.364,154
"19A0250","1",3,2020-06-24,15,TRUE,1312.26,16,4,262.452,347
"19A0056","1",3,2020-06-24,17,TRUE,1041.441,16,4,208.2882,241
"19A0352","1",3,2020-06-24,18,TRUE,865.111,15,5,216.27775,327
"19A0331","1",3,2020-06-24,19,TRUE,1313.442,16,4,262.6884,30
"19A0421","1",3,2020-06-24,20,TRUE,1008.01,16,4,201.602,183
"19A0284","1",3,2020-06-24,23,TRUE,787.447,14,6,236.2341,364
"19A0105","1",3,2020-06-28,1,TRUE,678.955,14,6,203.6865,330
"19A0048","1",3,2020-06-28,2,TRUE,593.044,13,7,207.5654,416
"19A0327","1",3,2020-06-28,3,TRUE,658.519,13,7,230.48165,23
"19A0100","1",3,2020-06-28,5,TRUE,1366.95,17,3,205.0425,222
"19A0002","1",3,2020-06-28,6,TRUE,744.225,14,6,223.2675,253
"19A0407","1",3,2020-06-28,7,TRUE,1313.123,16,4,262.6246,415
"19A0152","1",3,2020-06-28,8,TRUE,851.922,15,5,212.9805,423
"19A0013","1",3,2020-06-28,9,TRUE,1051.498,16,4,210.2996,265
"19A0046","1",3,2020-06-28,10,TRUE,982.637,15,5,245.65925,195
"19A0102","1",3,2020-06-28,12,TRUE,397.131,9,11,218.42205,211
"19A0431","1",3,2020-06-28,13,TRUE,897.348,15,5,224.337,307
"19A0060","1",3,2020-06-28,14,TRUE,1147.931,16,4,229.5862,377
"19A0039","1",3,2020-06-28,15,TRUE,838.386,15,5,209.5965,25
"19A0210","1",3,2020-06-28,16,TRUE,907.018,15,5,226.7545,6
"19A0130","1",3,2020-06-28,17,TRUE,696.299,14,6,208.8897,426
"19A0071","1",3,2020-06-28,18,TRUE,579.054,13,7,202.6689,381
"19A0009","1",3,2020-06-28,20,TRUE,314.671,7,13,204.53615,161
"19A0400","1",3,2020-06-28,21,TRUE,1203.077,16,4,240.6154,69
"19A0195","1",3,2020-06-28,22,TRUE,532.351,12,8,212.9404,86
"19A0318","1",3,2020-06-28,24,TRUE,728.428,14,6,218.5284,64
"19A0247","1",3,2020-06-29,1,TRUE,663.466,13,7,232.2131,124
"19A0192","1",3,2020-06-29,2,TRUE,489.528,11,9,220.2876,13
"19A0219","1",3,2020-06-29,3,TRUE,540.776,12,8,216.3104,47
"19A0149","1",3,2020-06-29,4,TRUE,1078.435,16,4,215.687,159
"19A0412","1",3,2020-06-29,6,TRUE,584.72,13,7,204.652,311
"19A0154","1",3,2020-06-29,7,TRUE,958.516,15,5,239.629,151
"19A0176","1",3,2020-06-29,9,TRUE,443.401,10,10,221.7005,184
"19A0183","1",3,2020-06-29,10,TRUE,436.118,10,10,218.059,220
"19A0078","1",3,2020-06-29,11,TRUE,433.367,10,10,216.6835,20
"19A0007","1",3,2020-06-29,12,TRUE,985.53,15,5,246.3825,144
"19A0448","1",3,2020-06-29,13,TRUE,833.611,15,5,208.40275,43
"19A0203","1",3,2020-06-29,14,TRUE,712.104,14,6,213.6312,68
"19A0156","1",3,2020-06-29,15,TRUE,1048.414,16,4,209.6828,358
"19A0378","1",3,2020-06-29,16,TRUE,791.429,14,6,237.4287,125
"19A0191","1",3,2020-06-29,17,TRUE,579.458,13,7,202.8103,279
"19A0083","1",3,2020-06-29,18,TRUE,1144.704,16,4,228.9408,267
"19A0301","1",3,2020-06-29,19,TRUE,453.371,11,9,204.01695,17
