"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0159",2,2,"SC_RNA_02","B09",15,5
"19A0076",7,20,"SC_RNA_02","B10",14,6
"Pos_Control",NA,NA,"SC_RNA_02","B11",NA,NA
"19A0394",2,14,"SC_RNA_02","B12",15,5
"19A0433",4,16,"SC_RNA_02","C01",16,4
"19A0059",5,19,"SC_RNA_02","C02",14,6
"Pos_Control",NA,NA,"SC_RNA_02","C03",NA,NA
"19A0227",6,23,"SC_RNA_02","C04",15,5
"19A0053",7,19,"SC_RNA_02","C05",15,5
"19A0123",6,12,"SC_RNA_02","C06",4,16
"19A0094",4,2,"SC_RNA_02","C07",12,8
"19A0081",1,5,"SC_RNA_02","C08",17,3
"19A0093",7,9,"SC_RNA_02","C09",14,6
"19A0182",6,20,"SC_RNA_02","C10",11,9
"19A0230",6,10,"SC_RNA_02","C11",15,5
"19A0430",1,16,"SC_RNA_02","C12",15,5
"19A0070",4,19,"SC_RNA_02","D01",16,4
"19A0139",5,24,"SC_RNA_02","D02",15,5
"19A0403",6,24,"SC_RNA_02","D03",14,6
"19A0049",6,21,"SC_RNA_02","D04",14,6
"19A0287",7,21,"SC_RNA_02","D05",14,6
"19A0349",2,16,"SC_RNA_02","D06",17,3
"19A0178",1,22,"SC_RNA_02","D07",17,3
"19A0154",3,7,"SC_RNA_02","D08",15,5
"19A0295",7,10,"SC_RNA_02","D09",0,20
"19A0088",5,20,"SC_RNA_02","D10",13,7
"19A0335",5,19,"SC_RNA_02","D11",15,5
"19A0316",2,19,"SC_RNA_02","D12",16,4
"19A0428",6,3,"SC_RNA_02","E01",0,20
"19A0360",2,6,"SC_RNA_02","E02",13,7
"19A0252",5,20,"SC_RNA_02","E03",13,7
"19A0118",6,16,"SC_RNA_02","E04",16,4
"19A0392",7,14,"SC_RNA_02","E05",10,10
"19A0302",3,22,"SC_RNA_02","E06",14,6
"19A0007",3,12,"SC_RNA_02","E07",15,5
"19A0109",5,12,"SC_RNA_02","E08",17,3
"19A0149",3,4,"SC_RNA_02","E09",16,4
"19A0138",4,10,"SC_RNA_02","E10",14,6
"Neg_Control",NA,NA,"SC_RNA_02","E11",NA,NA
