Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0052	Wu04819	1	1	3	41	15	99	1	Panel	8/7/15	8/8/15	5/29/15	70	71	-1	1889	1902
2015	15A0053	C5-NT	1	1	3	40	16	99	1	Panel	7/27/15	7/25/15	5/29/15	59	57	2	1661	1614
2015	15A0054	W3647	1	1	3	40	15	99	1	Panel	8/3/15	8/2/15	5/29/15	66	65	1	1824	1801
2015	15A0055	IL453b	1	1	3	39	16	99	1	Panel	8/3/15	8/8/15	5/29/15	66	71	-5	1824	1902
2015	15A0056	C30	1	1	3	39	15	99	1	Panel	7/30/15	7/28/15	5/29/15	62	60	2	1737	1686
2015	15A0057	IL671a	1	1	3	38	16	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0058	Ma83608	1	1	3	38	15	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0059	SD884	1	1	3	37	16	99	1	Panel	7/30/15	8/1/15	5/29/15	62	64	-2	1737	1780
2015	15A0060	C4	1	1	3	37	15	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0061	Wh08115b	1	1	3	36	16	99	1	Panel	8/8/15	8/14/15	5/29/15	71	77	-6	1902	2018
2015	15A0062	FILL	1	1	3	36	15	99	1	Check	7/27/15	7/24/15	5/29/15	59	56	3	1661	1594
2015	15A0063	SD277	1	1	3	35	16	99	1	Panel	7/31/15	8/1/15	5/29/15	63	64	-1	1760	1780
2015	15A0064	M23	1	1	3	35	15	99	1	Panel	7/28/15	8/1/15	5/29/15	60	64	-4	1686	1780
2015	15A0065	P39	1	1	3	34	16	99	1	Panel	7/25/15	7/27/15	5/29/15	57	59	-2	1614	1661
2015	15A0066	Wh07013	1	1	3	34	15	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0067	Wh10035R	1	1	4	34	14	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0068	Wh00033	1	1	4	34	13	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0069	OLCOTT	1	1	4	35	14	99	1	Panel	7/31/15	7/30/15	5/29/15	63	62	1	1760	1737
2015	15A0070	W6366	1	1	4	35	13	99	1	Panel	8/4/15	8/3/15	5/29/15	67	66	1	1842	1824
2015	15A0071	FILL	1	1	4	36	14	99	1	Check	7/27/15	7/24/15	5/29/15	59	56	3	1661	1594
2015	15A0072	Ma2402	1	1	4	36	13	99	1	Panel	7/29/15	8/1/15	5/29/15	61	64	-3	1711	1780
2015	15A0073	Me100	1	1	4	37	14	99	1	Panel	7/25/15	7/27/15	5/29/15	57	59	-2	1614	1661
2015	15A0074	Me2	1	1	4	37	13	99	1	Panel	7/30/15	7/31/15	5/29/15	62	63	-1	1737	1760
2015	15A0075	Wh05032a	1	1	4	38	14	99	1	Panel	8/5/15	8/13/15	5/29/15	68	76	-8	1859	1994
2015	15A0076	C13	1	1	4	38	13	99	1	Panel	7/24/15	7/27/15	5/29/15	56	59	-3	1594	1661
2015	15A0077	Check2	1	1	4	39	14	2	0	Check	8/5/15	8/5/15	5/29/15	68	68	0	1859	1859
2015	15A0078	We05408	1	1	4	39	13	99	1	Panel	7/25/15	7/25/15	5/29/15	57	57	0	1614	1614
2015	15A0079	Check1	1	1	4	40	14	1	0	Check	7/25/15	7/25/15	5/29/15	57	57	0	1614	1614
2015	15A0080	NJ7Y	1	1	4	40	13	99	1	Panel	8/3/15	8/5/15	5/29/15	66	68	-2	1824	1859
2015	15A0081	FILL	1	1	4	41	14	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0082	Ia45-2	1	1	4	41	13	99	1	Panel	8/7/15	8/5/15	5/29/15	70	68	2	1889	1859
2015	15A0083	C18	1	1	4	42	14	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0084	Wh94053	1	1	4	42	13	99	1	Panel	7/29/15	7/30/15	5/29/15	61	62	-1	1711	1737
2015	15A0085	SD789	1	1	4	43	14	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0086	Me135	1	1	4	43	13	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0087	We09425	1	1	4	44	14	99	1	Panel	7/29/15	7/31/15	5/29/15	61	63	-2	1711	1760
2015	15A0088	W7151	1	1	4	44	13	99	1	Panel	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0089	C38	1	1	5	45	14	99	1	Panel	7/28/15	7/29/15	5/29/15	60	61	-1	1686	1711
2015	15A0090	ND1	1	1	5	45	13	99	1	Panel	7/31/15	8/1/15	5/29/15	63	64	-1	1760	1780
2015	15A0091	Wh93017	1	1	5	46	14	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0092	C3	1	1	5	46	13	99	1	Panel	7/24/15	7/24/15	5/29/15	56	56	0	1594	1594
2015	15A0093	W822Gse	1	1	5	47	14	99	1	Panel	7/25/15	7/25/15	5/29/15	57	57	0	1614	1614
2015	15A0094	Check2	1	1	5	47	13	2	0	Check	8/5/15	8/5/15	5/29/15	68	68	0	1859	1859
2015	15A0095	FILL	1	1	5	48	14	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
