Row ID,Germplasm,Number of Pollinations,First Harvest GDD,Second Harvest GDD
14A0774,IL104g,5,407.3,407.3
14A0775,Ia5261,5,428.3,428.3
14A0776,IL47A,6,418.3,418.3
14A0777,IL761a,5,415.3,415.3
14A0778,NJ112,5,388.05,388.05
14A0779,IL31a,5,418.3,418.3
14A0780,IL124a,6,401.8,401.8
14A0781,Wh95016a,5,400.75,400.75
14A0782,IL777a,3,421.8,421.8
14A0783,SD42,4,412.3,412.3
14A0784,Wh10804R,6,418.3,418.3
14A0785,Check2,6,409.5,409.5
14A0786,IL799b,6,404.8,404.8
14A0787,IL318a,1,,
14A0788,AS11,9,412.3,412.3
14A0789,If825,5,407.3,407.3
14A0790,A10579,10,429.3,429.3
14A0791,Check3,12,407.3,407.3
14A0792,Wh00033,5,420.6,420.6
14A0793,Hi78,1,,
14A0794,MDM-18,6,420.3,420.3
14A0795,Jubileeex9017,5,392.15,392.15
14A0796,304A,6,412.3,412.3
14A0797,KBTL10,3,,
14A0798,IL796a,6,404.8,404.8
14A0799,IL303b,5,407.3,407.3
14A0800,IL14C,6,404.8,404.8
14A0801,B73,7,470.3,470.3
14A0802,(bta2)(sh2a1),0,,
14A0803,IL618b,1,,
14A0804,IL395a,4,470.3,470.3
14A0805,IL465a,5,428.3,428.3
14A0806,IL692c,5,401.8,401.8
14A0807,Check3,6,425.3,425.3
14A0808,MDM-20,4,404.8,404.8
14A0809,Check4,4,404.8,404.8
14A0810,IL442a,4,470.3,470.3
14A0811,IL110K,5,425.3,425.3
14A0812,Hi82c1,2,,
14A0813,M5,5,465.8,465.8
14A0814,IL368a,5,No Harvest Date Recorded,No Harvest Date Recorded
14A0815,A632,6,418.3,418.3
14A0816,257A9,6,465.8,465.8
14A0817,IL699e,7,404.8,404.8
14A0818,IL454a,6,412.3,412.3
14A0819,Check3,6,No Harvest Date Recorded,No Harvest Date Recorded
14A0820,IL7,4,421.8,421.8
14A0821,Hi70,4,452.8,452.8
14A0822,A648,6,404.8,404.8
14A0823,IL696a,7,418.3,418.3
14A0824,Check4,6,418.3,418.3
14A0825,M822,4,420.3,420.3
14A0826,OH7B,4,432.5,432.5
14A0827,IL125b,5,418.3,418.3
14A0828,T625,6,452.8,452.8
14A0829,IL798c,6,418.3,418.3
14A0830,V775,5,388.05,388.05
14A0831,T62s,6,470.3,470.3
14A0832,IL729a,11,425.3,425.3
14A0833,IL775a,4,404.8,404.8
14A0834,IL86e,6,No Harvest Date Recorded,No Harvest Date Recorded
14A0835,IL766a,5,425.3,425.3
14A0836,IL557a,12,No Harvest Date Recorded,No Harvest Date Recorded
14A0837,Mo17,5,404.8,404.8
14A0838,IL354a,10,412.3,412.3
14A0839,P39,5,463.3,463.3
14A0840,MDM-16,6,418.3,418.3
14A0841,ILB6011,5,418.3,418.3
14A0842,675A,6,401.8,401.8
14A0843,IL103a,8,412.3,412.3
14A0844,IL607a,6,418.3,418.3
14A0845,MDM-15,6,418.3,418.3
14A0846,IL14b,5,421.8,421.8
14A0847,IL802b,5,420.3,420.3
14A0848,MDM-12,4,401.8,401.8
14A0849,MDM-2,7,415.3,415.3
14A0850,IL393a,5,420.3,420.3
14A0851,Check3,6,401.8,401.8
14A0852,T24,6,401.8,401.8
14A0853,IL765a,6,455.3,455.3
14A0854,Check4,5,404.8,404.8
14A0855,MDM-5,3,420.3,420.3
14A0856,IL764b,5,425.3,425.3
14A0857,IL795a,10,425.3,425.3
14A0858,IL366a,7,418.3,418.3
14A0859,IL14H,4,404.8,404.8
14A0860,MDM-8,5,404.8,404.8
14A0861,Check4,6,442.3,418.3
14A0862,T33,8,401.8,401.8
14A0863,Check3,10,425.3,425.3
14A0864,IL545,5,426.3,426.3
14A0865,IL369b,6,418.3,418.3
14A0866,IL794a,5,418.3,418.3
14A0867,IL793a,5,418.3,418.3
14A0868,MR14,5,392.35,392.35
14A0869,T32,6,404.8,404.8
14A0870,83610b,6,404.8,404.8
14A0871,Hi80,3,,
14A0872,SD789,6,388.05,388.05
14A0873,A7,7,412.3,412.3
14A0874,Sweet Buns,5,400,400
14A0875,IL778c,6,425.3,425.3
14A0876,T35,7,425.3,425.3
14A0877,T20,4,404.8,404.8
14A0878,OH43,7,418.3,418.3
14A0879,IL91j,6,412.3,412.3
14A0880,IL328a,6,404.8,404.8
14A0881,We06410xWe05411,6,392.35,392.35
14A0882,We06410xWe05410,6,392,392
14A0883,We06409axWe05410,6,400,400
14A0884,We05401xWe04401,7,392.35,392.35
14A0885,Wh07168RxWuh98032,8,400.75,400.75
14A0886,Wh08056xWuh98032,6,392.35,392.35
14A0887,Wh05066axWuh98032,12,388.05,388.05
14A0888,Wh05081axWuh98032,9,400.75,400.75
14A0889,We06410xWe05411,6,392,392
14A0890,We06410xWe05410,6,400,400
14A0891,We06409axWe05410,4,418,418
14A0892,We05401xWe04401,8,400,400
14A0893,Wh07168RxWuh98032,7,388.05,388.05
14A0894,Wh08056xWuh98032,8,392.35,392.35
14A0895,Wh05066axWuh98032,8,400.75,400.75
14A0896,Wh05081axWuh98032,5,400.75,400.75
